name;averAge;healthCare;transport;climate;lambda;mi;population
Kyrgyzstan;25.299999;6.1858631670475;2.38;Continental;;;6322800
Laos;22.700001;2.52808686345816;3.07;Tropical;;;7061507
Latin America & Caribbean;29.200001;8.0129262363032;2.47;Tropical;;;641357515
Latvia;42.5;5.95566183328629;2.98;Continental;;;1927174
Lebanon;28.5;8.19554403424263;2.64;Mediterranean;;;6848925
Lesotho;21.299999;8.76315832138062;1.96;Temperate;;;2108132
Liberia;18.6;8.15533772110939;1.91;Tropical;;;4818977
Libya;27.200001;5.73763341650162;2.25;Mediterranean;;;6678567
Lithuania;42.700001;6.45756423473358;2.73;Continental;;;2801543
Luxembourg;39.299999;5.4810743778944;3.63;Continental;;;607950
Madagascar;18.700001;5.50203807651997;2.16;Tropical;;;26262368
Malawi;17.4;9.64823141694069;2.18;Tropical;;;18143315
Malaysia;27.700001;3.85939814150333;3.15;Tropical;;;31528585
Maldives;27.9;9.02997627854347;2.72;Tropical;;;515696
Mali;16;3.79398502409458;2.3;Arid;;;19077690
Malta;40.900002;9.34099927544594;2.9;Mediterranean;;;484630
Mauritania;19.700001;4.40315157175064;2.26;Tropical;;;4403319
Mauritius;35.599998;5.71872070431709;2.8;Tropical;;;1265303
Mexico;27.5;5.51654137670994;2.85;Tropical;;;126190788
Micronesia;21.5;12.3515494167805;2.3;Tropical;;;112640
Moldova;35.599998;7.0129506289959;2.02;Continental;;;2706049
Monaco;;1.77270229905844;3.03;Mediterranean;;;38682
Mongolia;27.1;4.00230102241039;2.1;Continental;;;3170208
Montenegro;37.700001;8.13345814299583;2.57;Mediterranean;;;622227
Morocco;27.9;5.24520017206669;2.43;Mediterranean;;;36029138
Mozambique;17.200001;4.94119822978973;2.05;Tropical;;;29495962
Myanmar;27.700001;4.65907230973244;1.99;Tropical;;;53708395
Namibia;21;8.55095684528351;1.96;Tropical;;;2448255
Nepal;23.200001;5.55329509079456;2.19;Tropical;;;28087871
Netherlands;42.099998;10.1008348166943;4.21;Temperate;;;17231624
New Caledonia;32.799999;3.12345319542885;2.58;Tropical;;;284060
New Zealand;37.299999;9.1700553894043;3.99;Temperate;;;4841000
Nicaragua;25.200001;8.64546522498131;2.42;Tropical;;;6465513
Niger;14.9;7.73996263742447;2;Tropical;;;22442948
Nigeria;17.9;3.75553853809834;2.56;Tropical;;;195874740
North Korea;34;5.60386362671852;2.68;Temperate;;;25549819
Norway;39.200001;10.4463420808315;3.69;Temperate;;;5311916
Oman;29;3.849071636796;3.16;Tropical;;;4829483
Pakistan;22.5;2.89863366633654;2.2;Temperate;;;212215030
Palau;;11.9611620903015;1.56;Tropical;;;17907
Panama;28.4;7.31949135661125;3.13;Tropical;;;4176873
Papua New Guinea;21.700001;2.46927607804537;1.97;Tropical;;;8606316
Paraguay;24.9;6.65456876158714;2.55;Temperate;;;6956071
Peru;27.5;4.99515049159527;2.28;Tropical;;;31989256
Philippines;24.1;4.44640778005123;2.73;Tropical;;;106651922
Poland;39.700001;6.5419539809227;3.21;Temperate;;;37974750
Portugal;43.900002;8.96957442164421;3.25;Temperate;;;10283822
Puerto Rico;36.400002;5.13639503717422;2.31;Tropical;;;3195153
Qatar;31.299999;2.60742865502834;3.38;Arid;;;2781677
Romania;41.299999;5.15788830816746;2.91;Temperate;;;19466145
Russia;38.700001;5.34457787871361;2.78;Continental;;;144478050
Rwanda;19.4;6.57159835100174;2.76;Temperate;;;12301939
Samoa;21.200001;5.48278577625752;2.1;Tropical;;;196130
San Marino;;7.36408308148384;3.45;Mediterranean;;;33785
Sao Tome and Principe;18.1;6.22999146580696;2.33;Tropical;;;211028
Saudi Arabia;29.799999;5.23025318980217;3.11;Tropical;;;33699947
Senegal;18.299999;4.13406379520893;2.22;Tropical;;;15854360
Serbia;40;8.43395814299583;2.6;Continental;;;6982604
Seychelles;34.599998;5.0067350268364;1.87;Tropical;;;96762
Sierra Leone;18.299999;13.4209275245667;1.82;Tropical;;;7650154
Singapore;40;4.44038286805153;4.06;Tropical;;;5638676
Slovakia;39.200001;6.74253478646278;3;Temperate;;;5446771
Slovenia;43;8.18701758980751;3.26;Mediterranean;;;2073894
Solomon Islands;19.9;4.68491911888123;2.21;Tropical;;;652858
Somalia;16.5;3.30255742669106;1.81;Tropical;;;15008154
South Korea;40.799999;7.60386362671852;3.13;Temperate;;;51606633
South Sudan;18.6;9.76099446415901;2.25;Tropical;;;10975920
Spain;43.200001;8.87312963604927;3.84;Temperate;;;46796540
Sri Lanka;32.299999;3.81142050027847;2.49;Tropical;;;21670000
